piece,obs,mean_ring,p_top_band,top_lift,best_ring,best_lift,p_ring1,p_ring2,p_ring3,p_ring4,p_ring5,p_ring6,p_ring7,lift1,lift2,lift3,lift4,lift5,lift6,lift7
188,136.21,3.378,0.2222,1.326,6,1.55,0.1254,0.2177,0.1803,0.2262,0.1312,0.1192,0.0,0.575,1.061,1.082,1.26,1.023,1.55,0.0
176,129.77,3.381,0.1129,0.674,6,1.601,0.164,0.2223,0.1488,0.155,0.1701,0.1232,0.0166,0.753,1.084,0.893,0.864,1.327,1.601,0.646
60,138.45,3.382,0.1771,1.057,7,2.803,0.1832,0.2135,0.152,0.1812,0.102,0.0963,0.0719,0.841,1.041,0.912,1.01,0.795,1.252,2.803
105,135.85,3.385,0.1763,1.052,7,2.565,0.2324,0.14,0.1576,0.1941,0.0978,0.1124,0.0658,1.066,0.682,0.945,1.081,0.763,1.462,2.565
74,138.63,3.395,0.1252,0.747,6,1.772,0.2011,0.1518,0.1545,0.1867,0.1623,0.1363,0.0072,0.923,0.74,0.927,1.04,1.266,1.772,0.281
146,130.45,3.397,0.1966,1.173,7,2.212,0.1427,0.2314,0.1811,0.156,0.1652,0.0669,0.0567,0.655,1.128,1.086,0.869,1.288,0.87,2.212
144,131.45,3.408,0.1302,0.777,3,1.539,0.1094,0.1968,0.2565,0.182,0.1545,0.0712,0.0297,0.502,0.959,1.539,1.014,1.205,0.925,1.157
84,138.31,3.409,0.1302,0.777,7,2.033,0.1846,0.2215,0.1055,0.2108,0.0966,0.1289,0.0521,0.847,1.08,0.633,1.174,0.753,1.676,2.033
147,145.14,3.412,0.1409,0.84,7,2.248,0.1543,0.1886,0.1891,0.1932,0.1661,0.051,0.0576,0.708,0.919,1.135,1.077,1.296,0.663,2.248
166,127.35,3.414,0.2263,1.35,6,1.64,0.1083,0.2774,0.1675,0.1703,0.1209,0.1261,0.0294,0.497,1.352,1.005,0.949,0.943,1.64,1.148
209,133.3,3.42,0.1678,1.002,6,1.662,0.1731,0.1472,0.169,0.2357,0.1471,0.1279,0.0,0.794,0.718,1.014,1.313,1.148,1.662,0.0
222,125.2,3.428,0.1142,0.681,6,1.874,0.1832,0.1591,0.1913,0.1391,0.1751,0.1442,0.008,0.841,0.776,1.148,0.775,1.366,1.874,0.312
182,125.65,3.445,0.1329,0.793,5,1.463,0.1414,0.1268,0.2234,0.2489,0.1875,0.0577,0.0143,0.649,0.618,1.34,1.387,1.463,0.75,0.559
157,130.22,3.447,0.1034,0.617,7,2.234,0.2141,0.1279,0.1485,0.2207,0.141,0.0905,0.0573,0.983,0.624,0.891,1.229,1.1,1.176,2.234
67,136.42,3.458,0.1685,1.006,7,1.959,0.1588,0.1548,0.2133,0.2125,0.1138,0.0966,0.0502,0.729,0.755,1.28,1.184,0.888,1.256,1.959
175,135.37,3.49,0.1194,0.713,7,1.789,0.1807,0.1326,0.2152,0.1684,0.1389,0.1182,0.0459,0.829,0.647,1.291,0.938,1.084,1.536,1.789
142,128.44,3.491,0.1224,0.731,7,2.908,0.1507,0.2533,0.1074,0.1847,0.1258,0.1036,0.0746,0.691,1.235,0.644,1.029,0.981,1.346,2.908
160,134.87,3.492,0.1551,0.925,7,3.687,0.1632,0.2265,0.1244,0.1773,0.1523,0.0618,0.0945,0.749,1.104,0.746,0.988,1.188,0.803,3.687
170,142.17,3.501,0.1098,0.655,7,2.228,0.1503,0.2027,0.1641,0.1746,0.1528,0.0984,0.0571,0.69,0.988,0.985,0.973,1.192,1.279,2.228
88,133.78,3.502,0.1254,0.748,6,1.922,0.2207,0.1303,0.1147,0.2237,0.1222,0.1479,0.0406,1.013,0.635,0.688,1.246,0.953,1.922,1.584
64,131.86,3.503,0.1067,0.637,7,2.859,0.1618,0.1354,0.2392,0.2169,0.0686,0.1048,0.0733,0.743,0.66,1.435,1.209,0.535,1.363,2.859
156,141.33,3.507,0.1194,0.712,5,1.481,0.163,0.1341,0.2053,0.1793,0.1899,0.1058,0.0227,0.748,0.654,1.232,0.999,1.481,1.375,0.885
108,132.91,3.522,0.1523,0.909,6,2.141,0.2034,0.1815,0.1072,0.1564,0.1439,0.1647,0.0429,0.933,0.885,0.643,0.871,1.123,2.141,1.673
181,129.38,3.526,0.1012,0.604,6,1.895,0.1587,0.1638,0.1821,0.1981,0.1171,0.1458,0.0344,0.728,0.798,1.093,1.104,0.914,1.895,1.341
226,132.67,3.555,0.1198,0.715,6,1.7,0.1216,0.1686,0.2048,0.1886,0.1781,0.1308,0.0075,0.558,0.822,1.229,1.051,1.389,1.7,0.294
164,128.15,3.557,0.0981,0.585,7,1.522,0.1525,0.1612,0.1727,0.1964,0.1638,0.1144,0.039,0.7,0.786,1.036,1.094,1.277,1.487,1.522
98,126.25,3.563,0.1566,0.935,7,3.408,0.1967,0.1677,0.1226,0.1682,0.1658,0.0916,0.0874,0.903,0.818,0.736,0.937,1.293,1.191,3.408
136,126.85,3.571,0.0868,0.518,7,2.972,0.139,0.1881,0.1911,0.1428,0.1988,0.064,0.0762,0.638,0.917,1.147,0.795,1.551,0.831,2.972
137,138.0,3.59,0.1251,0.747,7,3.938,0.1443,0.2304,0.1524,0.1552,0.1006,0.1161,0.101,0.662,1.123,0.914,0.865,0.785,1.509,3.938
163,133.25,3.609,0.1521,0.908,7,2.587,0.1721,0.1396,0.1205,0.2673,0.1427,0.0915,0.0663,0.79,0.68,0.723,1.489,1.113,1.19,2.587
145,135.08,3.643,0.1174,0.701,7,2.106,0.0962,0.1417,0.2338,0.2586,0.1445,0.0711,0.054,0.442,0.691,1.403,1.441,1.127,0.924,2.106
152,126.19,3.684,0.1308,0.781,7,2.524,0.141,0.1454,0.1871,0.1909,0.1511,0.1198,0.0647,0.647,0.709,1.123,1.064,1.179,1.557,2.524
139,130.42,3.703,0.0906,0.541,7,4.241,0.1371,0.2185,0.1321,0.1643,0.1215,0.1178,0.1087,0.629,1.065,0.793,0.915,0.947,1.532,4.241
